Time,Jogadora,POS,País,Minutos,Gols,Chutes,Chutes no Alvo,Chutes por 90 Minutos,Chute no Alvo(%),Gols por Chute,Gols por Chute no Alvo,Distância Chutes,npxG,npxG/Chutes
Reign,Ji So-yun,"MF,FW",KOR,2044,3,43,17,1.89,39.5,0.07,0.18,19.4,3.4,0.08
Dash,Diana Ordoñez,"FW,MF",MEX,1722,5,40,15,2.09,37.5,0.13,0.33,14.0,5.0,0.12
Gotham,Lynn Williams,"FW,MF",USA,919,4,40,15,3.92,37.5,0.08,0.2,16.5,4.3,0.11
Current,Debinha,"FW,MF",BRA,1464,3,39,10,2.4,25.6,0.08,0.3,17.7,4.8,0.12
Current,Michelle Cooper,"FW,MF",USA,1344,3,39,11,2.61,28.2,0.08,0.27,17.4,3.5,0.09
Royals,Hannah Betfort,FW,USA,1671,2,39,13,2.1,33.3,0.05,0.15,12.5,6.9,0.18
Reign,Jordyn Huitema,"FW,MF",CAN,1504,3,37,15,2.21,40.5,0.08,0.2,12.9,5.4,0.15
Reign,Tziarra King,"FW,MF",USA,1337,2,36,16,2.42,44.4,0.06,0.13,16.7,3.5,0.1
Wave,Jaedyn Shaw,"MF,FW",USA,1248,4,36,11,2.6,30.6,0.08,0.27,16.9,5.0,0.14
Spirit,Croix Bethune,"MF,FW",USA,1381,5,35,10,2.28,28.6,0.14,0.5,19.3,4.9,0.14
Thorns,Morgan Weaver,"FW,MF",USA,933,4,35,16,3.38,45.7,0.11,0.25,16.5,4.3,0.12
Louisville,Emma Sears,"FW,MF",USA,1482,5,35,18,2.13,51.4,0.14,0.28,16.9,3.5,0.1
Current,Vanessa DiBernardo,"MF,FW",USA,1531,5,34,8,2.0,23.5,0.15,0.63,21.3,3.2,0.09
Courage,Haley Hopkins,FW,USA,1464,3,34,10,2.09,29.4,0.09,0.3,12.3,3.5,0.1
